,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
319,frozenset({'age_40-60'}),"frozenset({'cp_asymptomatic', 'exang_True'})",0.5,0.5471698113207547,0.3018867924528302,0.6037735849056604,1.103448275862069,1.0,0.028301886792452824,1.1428571428571428,0.18749999999999997,0.4050632911392404,0.12499999999999997,0.5777488614183475
636,"frozenset({'exang_True', 'cp_asymptomatic'})","frozenset({'sex_Male', 'fbs_False', 'thalch_Normal'})",0.5471698113207547,0.49056603773584906,0.330188679245283,0.603448275862069,1.2301061007957559,1.0,0.061765752936988216,1.2846595570139459,0.4130952380952379,0.4666666666666667,0.22158365261813534,0.6382625994694959
408,"frozenset({'sex_Male', 'thalch_Normal'})","frozenset({'fbs_False', 'cp_asymptomatic'})",0.6415094339622641,0.5377358490566038,0.3867924528301887,0.6029411764705883,1.1212590299277607,1.0,0.04182983268066931,1.1642208245981833,0.301668806161746,0.48809523809523825,0.14105642256902778,0.6611197110423117
369,frozenset({'exang_True'}),"frozenset({'oldpeak_Mild', 'fbs_False'})",0.660377358490566,0.5377358490566038,0.39622641509433965,0.6000000000000001,1.1157894736842107,1.0,0.04111783552865794,1.1556603773584908,0.3055555555555559,0.49411764705882355,0.1346938775510206,0.668421052631579
400,frozenset({'exang_True'}),"frozenset({'sex_Male', 'fbs_False', 'cp_asymptomatic'})",0.660377358490566,0.5,0.39622641509433965,0.6000000000000001,1.2000000000000002,1.0,0.06603773584905664,1.2500000000000002,0.490740740740741,0.5185185185185185,0.20000000000000018,0.6962264150943397
392,"frozenset({'sex_Male', 'fbs_False'})","frozenset({'cp_asymptomatic', 'exang_True'})",0.660377358490566,0.5471698113207547,0.39622641509433965,0.6000000000000001,1.0965517241379312,1.0,0.03488786044855824,1.1320754716981134,0.25925925925925947,0.4883720930232559,0.11666666666666688,0.6620689655172414
66,frozenset({'chol_High'}),frozenset({'exang_True'}),0.6132075471698113,0.660377358490566,0.36792452830188677,0.6,0.9085714285714286,1.0,-0.03702385190459234,0.8490566037735849,-0.2064516129032256,0.40624999999999994,-0.17777777777777773,0.5785714285714285
470,frozenset({'chol_High'}),"frozenset({'oldpeak_Mild', 'sex_Male', 'cp_asymptomatic'})",0.6132075471698113,0.5566037735849056,0.36792452830188677,0.6,1.0779661016949151,1.0,0.026610893556425763,1.1084905660377358,0.18699186991869912,0.4588235294117647,0.09787234042553189,0.6305084745762712
605,"frozenset({'fbs_False', 'exang_True'})","frozenset({'oldpeak_Mild', 'thalch_Normal'})",0.5188679245283019,0.5094339622641509,0.3113207547169811,0.6,1.1777777777777778,1.0,0.04699181203275188,1.2264150943396226,0.31372549019607854,0.43421052631578955,0.18461538461538457,0.6055555555555555
145,frozenset({'sex_Male'}),"frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.9339622641509434,0.5849056603773585,0.5566037735849056,0.5959595959595959,1.0188986640599544,1.0,0.010323958704165137,1.0273584905660376,0.280871670702178,0.5784313725490196,0.02662993572084474,0.7737862495927013
289,frozenset({'fbs_False'}),"frozenset({'cp_asymptomatic', 'exang_True'})",0.6981132075471698,0.5471698113207547,0.41509433962264153,0.5945945945945946,1.086672879776328,1.0,0.03310786756852979,1.116981132075472,0.2642045454545459,0.5000000000000001,0.10472972972972983,0.6766076421248836
588,"frozenset({'oldpeak_Mild', 'exang_True'})","frozenset({'thalch_Normal', 'cp_asymptomatic'})",0.5094339622641509,0.5283018867924528,0.3018867924528302,0.5925925925925926,1.1216931216931216,1.0,0.032751868992524025,1.157804459691252,0.22115384615384612,0.4102564102564102,0.13629629629629625,0.582010582010582
576,"frozenset({'oldpeak_Mild', 'thalch_Normal'})","frozenset({'fbs_False', 'cp_asymptomatic'})",0.5094339622641509,0.5377358490566038,0.3018867924528302,0.5925925925925926,1.102014294996751,1.0,0.027945888216447112,1.134648370497427,0.1887019230769229,0.4050632911392404,0.11866969009826148,0.5769980506822612
592,"frozenset({'thalch_Normal', 'exang_True'})","frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.5094339622641509,0.5849056603773585,0.3018867924528302,0.5925925925925926,1.013142174432497,1.0,0.003915984336062661,1.0188679245283019,0.026442307692307727,0.38095238095238093,0.018518518518518483,0.5543608124253285
561,"frozenset({'oldpeak_Mild', 'exang_True'})","frozenset({'fbs_False', 'cp_asymptomatic'})",0.5094339622641509,0.5377358490566038,0.3018867924528302,0.5925925925925926,1.102014294996751,1.0,0.027945888216447112,1.134648370497427,0.1887019230769229,0.4050632911392404,0.11866969009826148,0.5769980506822612
578,"frozenset({'fbs_False', 'thalch_Normal'})","frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.5094339622641509,0.5849056603773585,0.3018867924528302,0.5925925925925926,1.013142174432497,1.0,0.003915984336062661,1.0188679245283019,0.026442307692307727,0.38095238095238093,0.018518518518518483,0.5543608124253285
590,"frozenset({'oldpeak_Mild', 'thalch_Normal'})","frozenset({'cp_asymptomatic', 'exang_True'})",0.5094339622641509,0.5471698113207547,0.3018867924528302,0.5925925925925926,1.0830140485312898,1.0,0.023139907440370255,1.111492281303602,0.1562500000000001,0.39999999999999997,0.10030864197530859,0.5721583652618135
381,frozenset({'thalch_Normal'}),"frozenset({'oldpeak_Mild', 'fbs_False'})",0.6698113207547169,0.5377358490566038,0.39622641509433965,0.591549295774648,1.1000741289844331,1.0,0.03604485582057676,1.131750162654522,0.2755102040816329,0.4883720930232559,0.11641276228801403,0.664195700518903
272,frozenset({'oldpeak_Mild'}),"frozenset({'sex_Male', 'chol_High'})",0.7830188679245284,0.5660377358490566,0.46226415094339623,0.5903614457831325,1.0429718875502008,1.0,0.01904592381630471,1.0593784683684795,0.1898846495119785,0.5212765957446809,0.05605028810895763,0.7035140562248996
520,"frozenset({'sex_Male', 'thalch_Normal'})","frozenset({'oldpeak_Mild', 'fbs_False'})",0.6415094339622641,0.5377358490566038,0.37735849056603776,0.5882352941176471,1.0939112487100104,1.0,0.03239587041651837,1.1226415094339623,0.23947368421052653,0.4705882352941178,0.10924369747899165,0.6449948400412797
406,"frozenset({'sex_Male', 'fbs_False'})","frozenset({'thalch_Normal', 'cp_asymptomatic'})",0.660377358490566,0.5283018867924528,0.3867924528301887,0.5857142857142857,1.1086734693877551,1.0,0.03791384834460665,1.1385816525699415,0.28861788617886197,0.48235294117647065,0.12171428571428579,0.6589285714285715
129,frozenset({'cp_asymptomatic'}),"frozenset({'sex_Male', 'chol_High'})",0.7735849056603774,0.5660377358490566,0.4528301886792453,0.5853658536585366,1.0341463414634147,1.0,0.014951940192239221,1.0466148723640398,0.14583333333333326,0.5106382978723405,0.04453870625662774,0.6926829268292682
171,frozenset({'chol_High'}),"frozenset({'sex_Male', 'fbs_False'})",0.6132075471698113,0.660377358490566,0.3584905660377358,0.5846153846153846,0.8852747252747254,1.0,-0.04645781416874328,0.8176100628930819,-0.25096153846153824,0.39175257731958757,-0.22307692307692284,0.5637362637362637
563,"frozenset({'fbs_False', 'exang_True'})","frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.5188679245283019,0.5849056603773585,0.3018867924528302,0.5818181818181818,0.9947214076246335,1.0,-0.001601993592025619,0.992616899097621,-0.01090909090909082,0.3764705882352941,-0.007438016528925642,0.5489736070381231
307,frozenset({'fbs_False'}),"frozenset({'thalch_Normal', 'cp_asymptomatic'})",0.6981132075471698,0.5283018867924528,0.4056603773584906,0.5810810810810811,1.099903474903475,1.0,0.03684585261658957,1.1259890444309193,0.30087209302325607,0.49425287356321845,0.11189189189189203,0.674469111969112
497,frozenset({'fbs_False'}),"frozenset({'sex_Male', 'thalch_Normal', 'exang_True'})",0.6981132075471698,0.4811320754716981,0.4056603773584906,0.5810810810810811,1.2077371489136197,1.0,0.06977572089711648,1.238587948874011,0.5697674418604656,0.5243902439024392,0.19262899262899275,0.712109167991521
602,"frozenset({'oldpeak_Mild', 'fbs_False'})","frozenset({'thalch_Normal', 'exang_True'})",0.5377358490566038,0.5094339622641509,0.3113207547169811,0.5789473684210527,1.1364522417153997,1.0,0.037379850480598054,1.1650943396226416,0.25974025974025955,0.423076923076923,0.14170040485829966,0.5950292397660819
300,"frozenset({'fbs_False', 'cp_asymptomatic'})",frozenset({'chol_High'}),0.5377358490566038,0.6132075471698113,0.3113207547169811,0.5789473684210527,0.9441295546558706,1.0,-0.018422926308294785,0.9186320754716982,-0.11348684210526327,0.3707865168539326,-0.08857509627727843,0.5433198380566802
293,"frozenset({'fbs_False', 'cp_asymptomatic'})",frozenset({'age_40-60'}),0.5377358490566038,0.5,0.3113207547169811,0.5789473684210527,1.1578947368421053,1.0,0.042452830188679236,1.1875,0.29499072356215206,0.4285714285714286,0.1578947368421053,0.6007944389275075
351,frozenset({'thalch_Normal'}),"frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.6698113207547169,0.5849056603773585,0.3867924528301887,0.5774647887323945,0.9872785097682873,1.0,-0.004983980064079685,0.9823899371069186,-0.03755868544600896,0.4456521739130436,-0.01792573623559506,0.6193775556565199
415,frozenset({'thalch_Normal'}),"frozenset({'sex_Male', 'fbs_False', 'cp_asymptomatic'})",0.6698113207547169,0.5,0.3867924528301887,0.5774647887323945,1.154929577464789,1.0,0.05188679245283023,1.1833333333333336,0.4062717770034846,0.4939759036144579,0.15492957746478897,0.675524847196386
478,"frozenset({'sex_Male', 'thalch_Normal'})","frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.6415094339622641,0.5849056603773585,0.36792452830188677,0.5735294117647058,0.980550284629981,1.0,-0.007297970808116783,0.9733246584255042,-0.05242966751918169,0.4285714285714286,-0.027406417112299512,0.601280834914611
420,"frozenset({'sex_Male', 'fbs_False'})","frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.660377358490566,0.5849056603773585,0.37735849056603776,0.5714285714285715,0.9769585253456223,1.0,-0.008899964400142346,0.9685534591194971,-0.06493506493506457,0.4347826086956523,-0.03246753246753223,0.6082949308755761
455,frozenset({'exang_True'}),"frozenset({'sex_Male', 'oldpeak_Mild', 'cp_asymptomatic'})",0.660377358490566,0.5566037735849056,0.37735849056603776,0.5714285714285715,1.026634382566586,1.0,0.009789960840156708,1.0345911949685538,0.07638888888888941,0.44943820224719117,0.03343465045592726,0.6246973365617434
518,"frozenset({'sex_Male', 'fbs_False'})","frozenset({'oldpeak_Mild', 'thalch_Normal'})",0.660377358490566,0.5094339622641509,0.37735849056603776,0.5714285714285715,1.1216931216931219,1.0,0.04093983624065506,1.1446540880503147,0.3194444444444446,0.4761904761904763,0.12637362637362654,0.6560846560846562
513,frozenset({'exang_True'}),"frozenset({'sex_Male', 'fbs_False', 'oldpeak_Mild'})",0.660377358490566,0.5188679245283019,0.37735849056603776,0.5714285714285715,1.1012987012987014,1.0,0.03470986116055541,1.1226415094339626,0.2708333333333337,0.4705882352941178,0.10924369747899176,0.6493506493506493
160,"frozenset({'sex_Male', 'fbs_False'})",frozenset({'age_40-60'}),0.660377358490566,0.5,0.37735849056603776,0.5714285714285715,1.142857142857143,1.0,0.04716981132075476,1.166666666666667,0.36805555555555586,0.4819277108433735,0.14285714285714302,0.6630727762803235
